ID_KLASY,ID_TOWARU,ID_KLASY_NADRZ,TYP,NAZWA_KLASY,ID_KLASYFIKACJI,CZY_OBOWIAZKOWA,ID_KLASY_CENTR,CZY_IMP_Z_CENTR,CZY_KLASYFIKACJA_ZEWNETRZNA,CZY_DEFINICJA_CECH_DODATK,TS,CZY_AKTYWNY
14594,,13199,N,"08.02.04.05 Zawiasy, okucia okienne",10442,N,6AD45162-CC3B-4382-BD93-0CDA9A9ABAA2,false,true,false,0x000000000007192F,true
14595,,13199,N,08.02.04.06 Szyby okienne,10442,N,ABCA9961-3FFD-4E83-8527-1E9382B9554A,false,true,false,0x0000000000071930,true
14596,,13116,N,18.05.02.02 Klej do włókna szklanego,10442,N,6F09D25D-B681-447D-B945-1F047DE38D69,false,true,false,0x0000000000071931,true
14597,,13116,N,18.05.02.03 Klej do borderów,10442,N,15D1D208-3DED-4E84-8EDC-536A06453AE3,false,true,false,0x0000000000071932,true
14598,,13211,N,"10.02.01.10 Dozowniki, mydelniczki",10442,N,5C78E431-F8D6-4694-B1FE-D9F8FDD719EB,false,true,false,0x0000000000071933,true
14599,,13211,N,10.02.01.11 Szczotki do wc,10442,N,C57A9F50-61A3-4103-AA05-5827E3BBECBC,false,true,false,0x0000000000071934,true
14600,,13211,N,10.02.01.12 Wagi łazienkowe,10442,N,08B06A41-F118-48E3-98A0-62F90925D306,false,true,false,0x0000000000071935,true
14601,,13130,N,18.03.02.04 Termofory,10442,N,18F39CEF-478F-4D4B-8EE8-B5B4DB2DEF9F,false,true,false,0x0000000000071936,true
14602,,13156,N,18.06.01.04 Płyty sufitowe,10442,N,24F7128A-8541-4B80-89A3-DE7D05609B75,false,true,false,0x0000000000071937,true
14603,,13157,N,18.06.02.06 Panele sufitowe,10442,N,11BCD315-8D92-4DC2-BDF4-C850041D6D3F,false,true,false,0x0000000000071938,true
14604,,13361,N,"19.05.04.02 Nocniki, nakładki sedesowe, podesty",10442,N,86B5B55A-BD4E-44E2-A1A0-19477975EAC3,false,true,false,0x0000000000071939,true
14605,,13361,N,19.05.04.03 Wiadra na pieluchy,10442,N,3554F931-8A2B-4359-BB14-43B060497478,false,true,false,0x000000000007193A,true
14606,,13361,N,19.05.04.04 Pojemniki na zabawki,10442,N,EB9AFAE5-5179-4573-943F-28FF196D931B,false,true,false,0x000000000007193B,true
14607,,13211,N,10.02.01.14 Kosze na śmieci,10442,N,2992818F-DF8F-4D6A-ACB0-29111BCA48D4,false,true,false,0x000000000007193C,true
14608,,13211,N,10.02.01.13 Wieszaki łazienkowe,10442,N,ACA8DBAA-4866-4E8E-B933-59B5E218146D,false,true,false,0x000000000007193D,true
14609,,13211,N,10.02.01.09 Kubki łazienkowe,10442,N,4920793C-2C0D-45ED-8FEE-87965ABC12F9,false,true,false,0x000000000007193E,true
14610,,13058,N,"17.23.03.10 akcesoria turystyczne: Breloki, Karabińczyki, Paracordy",10442,N,84CE63A7-2EE8-47EF-828F-00EE447BB8F9,false,true,false,0x000000000007193F,true
14611,,13058,N,17.23.03.11 Maski antysmogowe,10442,N,D8305FC4-2153-4E3C-847D-6E3291154EBB,false,true,false,0x0000000000071940,true
14612,,13058,N,17.23.03.12 Multitoole i akcesoria,10442,N,3A15BC01-028F-4D6B-837F-55E730745202,false,true,false,0x0000000000071941,true
14613,,13058,N,"17.23.03.13 Telefony, Nawigacje",10442,N,15D612F7-FF14-4E7A-8962-4243B8ACD318,false,true,false,0x0000000000071942,true
14614,,13361,N,19.05.04.01 Wanienki i akcesoria,10442,N,4AF6A82A-EA0B-4A29-B4DC-E0D81232F11F,false,true,false,0x0000000000071943,true
14615,,13132,N,"17.12.03.05 Fitnes, joga, cross, traininig",10442,N,C65F9EEB-E022-4E6C-806C-7E6F8AFBA403,false,true,false,0x0000000000071944,true
14616,,12965,N,06.03.04.07 Biokominki,10442,N,BD915985-1FD7-425A-9FC9-4CAF213707B1,false,true,false,0x0000000000071945,true
14617,,13133,N,18.01.01.08 Moskitiery,10442,N,782F4D3B-7F98-4C75-A615-AD4F0D9D7C5D,false,true,false,0x0000000000071946,true
14618,,13058,N,"17.23.03.08 akcesoria turystyczne: Plecaki, Torby, Portfele",10442,N,7E6D70BE-30D7-4ED5-8D09-1CDEEC6175BB,false,true,false,0x0000000000071947,true
14619,,13058,N,"17.23.03.09 akcesoria turystyczne: Kubki, Termosy",10442,N,F6A8D7CC-F913-4588-A400-3B291B056C8F,false,true,false,0x0000000000071948,true
14620,,13282,N,15.02.16.03 Taśmy miernicze,10442,N,E1F81383-73F2-416E-A19A-0B32F8A820BF,false,true,false,0x0000000000071949,true
14621,,13282,N,15.02.16.04 Taśmy budowlane,10442,N,9D268B04-5665-4E6C-8F0A-C8A654FDBBC6,false,true,false,0x000000000007194A,true
14622,,13282,N,15.02.16.05 Taśmy dwustronne,10442,N,6FEC06FE-7505-4F9A-8597-EE3A83018E2C,false,true,false,0x000000000007194B,true
14623,,13282,N,15.02.16.06 Taśmy montażowe,10442,N,920DDDED-5C6C-4AE7-98FD-552575637899,false,true,false,0x000000000007194C,true
14624,,13132,N,"17.12.03.03 Hulajnogi, rolki, deskorolki",10442,N,462F679E-07F4-406D-ACC2-2B036E02D232,false,true,false,0x000000000007194D,true
14625,,13132,N,17.12.03.04 Piłka nożna,10442,N,35E9D9AF-9F9E-43B1-88ED-D21D40BFEF04,false,true,false,0x000000000007194E,true
14626,,13290,N,15.02.03.08 Akcesoria do urządzeń pomiarowych,10442,N,15D4574F-B279-4FFD-993C-9D5D926217DE,false,true,false,0x000000000007194F,true
14627,,13305,N,"16.01.04.04 RTV, akcesoria",10442,N,73E34A4E-0B83-49E8-BA72-6A28B0CC9A64,false,true,false,0x0000000000071950,true
14628,,13299,N,16.10.01.01 Kable,10442,N,26CD9B42-46A5-40A0-93F8-471667AB0A64,false,true,false,0x0000000000071951,true
14629,,13282,N,15.02.16.01 Taśmy naprawcze,10442,N,1EF2F4BF-B887-48A4-85B1-BC68D341F108,false,true,false,0x0000000000071952,true
14630,,13282,N,15.02.16.02 Taśmy elektroizolacyjne,10442,N,B835D7A8-A9CA-4275-9D2A-DD90D4AAFDBA,false,true,false,0x0000000000071953,true
14631,,13344,N,16.02.13.01 Lampki dekoracyjne,10442,N,577832B2-D122-49F4-B12C-275D7B98F048,false,true,false,0x0000000000071954,true
14632,,13061,N,17.17.03.03 Ławki cmentarne,10442,N,D82EC685-07CA-4E08-9EC2-60897D5B94D0,false,true,false,0x0000000000071955,true
14633,,13059,N,17.17.01.05 Dekoracje bożonarodzeniowe,10442,N,0B9E75DB-C8CA-40C0-A56A-34BBFAF11813,false,true,false,0x0000000000071956,true
14634,,13364,N,19.06.03.03 Naczynia żaroodporne,10442,N,41A8C184-9333-4466-99A2-A48471B51EE9,false,true,false,0x0000000000071957,true
14635,,13293,N,15.01.06.10 Pozostałe akcesoria do elektronarzędzi,10442,N,F8F6A85A-1913-4198-BCFB-372C73DFC366,false,true,false,0x0000000000071958,true
14636,,13050,N,"17.21.03.03 Haczyki, kotwiczki",10442,N,02327132-9AF7-4D42-8E7E-697B8A61A1D1,false,true,false,0x0000000000071959,true
14637,,13064,N,17.17.06.02 Klocki,10442,N,A0B774FF-A5B6-414C-8BD4-0E19905645E4,false,true,false,0x000000000007195A,true
14638,,13064,N,17.17.06.03 Gry,10442,N,B1F282C6-0EB2-4FE7-9CDE-574B0C250BAB,false,true,false,0x000000000007195B,true
14639,,13064,N,17.17.06.04 Kreatywne,10442,N,DF86F56E-A9D2-4A54-B248-A77A13BFC597,false,true,false,0x000000000007195C,true
14640,,13299,N,16.10.01.02 Ładowarki,10442,N,1524FB95-463E-4101-9DEC-40D4DF57A791,false,true,false,0x000000000007195D,true
14641,,13299,N,16.10.01.03 Uchwyty,10442,N,2AC98C00-1069-4A5F-98C1-9627BD0A6F9C,false,true,false,0x000000000007195E,true
14642,,13064,N,17.17.06.05 Edukacyjne,10442,N,C02519B4-0550-4193-82B2-2EB14E8FC19E,false,true,false,0x000000000007195F,true
14643,,13064,N,17.17.06.06 Zdalnie sterowane,10442,N,EF8B1015-2701-4E05-BDA5-632F5783DD0A,false,true,false,0x0000000000071960,true
14644,,12967,N,06.03.06.04 Węże techniczne,10442,N,C30453A0-A99B-45CA-887E-E0BAC4906DE3,false,true,false,0x0000000000071961,true
14645,,13278,N,15.02.11.05 Pozostałe narzędzia glazurnicze,10442,N,FA292E7E-847C-46DB-9460-8507E3AED6F0,false,true,false,0x0000000000071962,true
14646,,13050,N,"17.21.02.02 Żyłki, plecionki",10442,N,FAD8593F-6B77-4FF9-AA0E-59A1707B5839,false,true,false,0x0000000000071963,true
14647,,14496,N,30.02.03 Upominki,10442,N,3D8BC499-90E7-47D1-9F21-D23DC38E7564,false,true,false,0x0000000000071965,true
14648,,14647,N,30.02.03.01 Balon,10442,N,E2980068-6F12-4C09-B0BC-D6EBB0C2B5AB,false,true,false,0x0000000000071966,true
14649,,14647,N,30.02.03.02 Bańki,10442,N,32EAE129-70D4-4464-93FB-EC9D3724F92B,false,true,false,0x0000000000071967,true
